,Bird Type,Bird Info,Bird Family
191,Black-legged Kittiwake,Rissa tridactyla,New World Quail Odontophoridae 
192,Ivory Gull,Pagophila eburnea,New World Quail Odontophoridae 
193,Sabine's Gull,Xema sabini,New World Quail Odontophoridae 
194,Bonaparte's Gull,Chroicocephalus philadelphia,New World Quail Odontophoridae 
195,Black-headed Gull,Chroicocephalus ridibundus,New World Quail Odontophoridae 
196,Little Gull,Hydrocoloeus minutus,New World Quail Odontophoridae 
197,Ross's Gull,Rhodostethia rosea,New World Quail Odontophoridae 
198,Laughing Gull,Leucophaeus atricilla,New World Quail Odontophoridae 
199,Franklin's Gull,Leucophaeus pipixcan,New World Quail Odontophoridae 
200,Heermann's Gull,Larus heermanni,New World Quail Odontophoridae 
201,Short-billed Gull,Larus brachyrhynchus,New World Quail Odontophoridae 
202,Ring-billed Gull,Larus delawarensis,New World Quail Odontophoridae 
203,Western Gull,Larus occidentalis,New World Quail Odontophoridae 
204,California Gull,Larus californicus,New World Quail Odontophoridae 
205,Herring Gull,Larus argentatus,New World Quail Odontophoridae 
206,Iceland Gull,Larus glaucoides,New World Quail Odontophoridae 
207,Lesser Black-backed Gull,Larus fuscus,New World Quail Odontophoridae 
208,Glaucous-winged Gull,Larus glaucescens,New World Quail Odontophoridae 
209,Glaucous Gull,Larus hyperboreus,New World Quail Odontophoridae 
210,Great Black-backed Gull,Larus marinus,New World Quail Odontophoridae 
211,Least Tern,Sternula antillarum,New World Quail Odontophoridae 
212,Gull-billed Tern,Gelochelidon nilotica,New World Quail Odontophoridae 
213,Caspian Tern,Hydroprogne caspia,New World Quail Odontophoridae 
214,Black Tern,Chlidonias niger,New World Quail Odontophoridae 
215,Roseate Tern,Sterna dougallii,New World Quail Odontophoridae 
216,Common Tern,Sterna hirundo,New World Quail Odontophoridae 
217,Arctic Tern,Sterna paradisaea,New World Quail Odontophoridae 
218,Forster's Tern,Sterna forsteri,New World Quail Odontophoridae 
219,Royal Tern,Thalasseus maximus,New World Quail Odontophoridae 
220,Sandwich Tern,Thalasseus sandvicensis,New World Quail Odontophoridae 
221,Elegant Tern,Thalasseus elegans,New World Quail Odontophoridae 
222,Black Skimmer,Rynchops niger,New World Quail Odontophoridae 
223,Red-throated Loon,Gavia stellata,New World Quail Odontophoridae 
224,Pacific Loon,Gavia pacifica,New World Quail Odontophoridae 
225,Common Loon,Gavia immer,New World Quail Odontophoridae 
226,Laysan Albatross,Phoebastria immutabilis,New World Quail Odontophoridae 
227,Black-footed Albatross,Phoebastria nigripes,New World Quail Odontophoridae 
228,Fork-tailed Storm-Petrel,Hydrobates furcatus,New World Quail Odontophoridae 
229,Northern Fulmar,Fulmarus glacialis,New World Quail Odontophoridae 
230,Wood Stork,Mycteria americana,New World Quail Odontophoridae 
231,Magnificent Frigatebird,Fregata magnificens,New World Quail Odontophoridae 
232,Masked Booby,Sula dactylatra,New World Quail Odontophoridae 
233,Blue-footed Booby,Sula nebouxii,New World Quail Odontophoridae 
234,Brown Booby,Sula leucogaster,New World Quail Odontophoridae 
235,Red-footed Booby,Sula sula,New World Quail Odontophoridae 
236,Northern Gannet,Morus bassanus,New World Quail Odontophoridae 
237,Anhinga,Anhinga anhinga,New World Quail Odontophoridae 
238,Brandt's Cormorant,Urile penicillatus,New World Quail Odontophoridae 
239,Pelagic Cormorant,Urile pelagicus,New World Quail Odontophoridae 
240,Great Cormorant,Phalacrocorax carbo,New World Quail Odontophoridae 
241,Double-crested Cormorant,Nannopterum auritum,New World Quail Odontophoridae 
242,Neotropic Cormorant,Nannopterum brasilianum,New World Quail Odontophoridae 
243,American White Pelican,Pelecanus erythrorhynchos,New World Quail Odontophoridae 
244,Brown Pelican,Pelecanus occidentalis,New World Quail Odontophoridae 
245,American Bittern,Botaurus lentiginosus,New World Quail Odontophoridae 
246,Least Bittern,Ixobrychus exilis,New World Quail Odontophoridae 
